label,corpi_T_0.0,corpi_T_0.4,corpi_T_0.8,corpi_T_1.2,corpi_T_1.6,corpi_T_2.0,corpi_T_4.0,corpi_T_6.0,corpi_T_8.0,corpi_T_10.0,corpidiv0_T_0.0,corpidiv0_T_0.4,corpidiv0_T_0.8,corpidiv0_T_1.2,corpidiv0_T_1.6,corpidiv0_T_2.0,corpidiv0_T_4.0,corpidiv0_T_6.0,corpidiv0_T_8.0,corpidiv0_T_10.0,corpidiv1_T_0.0,corpidiv1_T_0.4,corpidiv1_T_0.8,corpidiv1_T_1.2,corpidiv1_T_1.6,corpidiv1_T_2.0,corpidiv1_T_4.0,corpidiv1_T_6.0,corpidiv1_T_8.0,corpidiv1_T_10.0,corpifst0_T_0.0,corpifst0_T_0.4,corpifst0_T_0.8,corpifst0_T_1.2,corpifst0_T_1.6,corpifst0_T_2.0,corpifst0_T_4.0,corpifst0_T_6.0,corpifst0_T_8.0,corpifst0_T_10.0,corpifst1_T_0.0,corpifst1_T_0.4,corpifst1_T_0.8,corpifst1_T_1.2,corpifst1_T_1.6,corpifst1_T_2.0,corpifst1_T_4.0,corpifst1_T_6.0,corpifst1_T_8.0,corpifst1_T_10.0
BDM -Ns=10.0 -Prop=0.05 Nm=0.1,0.9988007454825378,0.7554493152904952,0.6007130702536261,0.49637792723442187,0.44270318450692814,0.43784134186856816,0.33042703184506933,0.2936066769305567,0.3028117656591848,0.3264403208816142,0.9993193420306297,0.8650028360748724,0.7745077384328661,0.6378899602949518,0.6064824568511467,0.5321286767684953,0.08671906652621345,-0.03605866623450288,-0.3563244469653999,-0.5495988979823354,0.9996110525889315,0.8863625313994005,0.7714609837128272,0.6740296572400941,0.49466007616886803,0.4088971720281987,0.23001377522080868,-0.1531966615347217,-0.3881857223887854,-0.5380601247872944,0.12088161413175594,-0.1881695162466575,-0.286054614698971,-0.3680576938659753,-0.3236528644356211,-0.41687059395510906,-0.611538773195041,-0.6686816303378982,-0.7390162871728385,-0.7864354590389759,0.11977959646706102,-0.1547848634632526,-0.32550036463819787,-0.3042379061664371,-0.4137914269508144,-0.5395186775788023,-0.5669718823434082,-0.7304594441293251,-0.7321772951948788,-0.7378494449396322
BDM -Ns=10.0 -Prop=0.05 Nm=1.0,0.9985414472084921,0.8213434891824001,0.7704886151851552,0.6963617210922941,0.699894660076169,0.6809982983550766,0.7003808443400048,0.7348351025038491,0.7744753261486104,0.7778462037112066,0.999416578883397,0.9276881938254598,0.8648731869378494,0.8659752046025444,0.8413742808524433,0.8450692812575966,0.8210841909083543,0.8393647192285878,0.8541123085649461,0.8685357750587475,0.9992545174621184,0.9247062636739326,0.9023417875374766,0.8483429219674257,0.86555384490722,0.8286686654241958,0.8381006401426141,0.8804959079491127,0.8546633173972935,0.8528806417632284,0.033271209788509844,-0.11537152580828133,-0.33023255813953495,-0.1000729276395754,-0.26242605947654163,-0.32744510169354185,-0.3324041811846691,-0.3442022526537558,-0.3355157604732194,-0.30757637144477756,0.0340166923263917,-0.09527590956972694,-0.2534154444534479,-0.1260675796126732,-0.2398671096345515,-0.31243821408313754,-0.29603759824973663,-0.322939794181995,-0.3970018637063447,-0.3595332631067175
BDM -Ns=10.0 -Prop=0.1 Nm=0.1,0.9987359209140265,0.7769062474677904,0.7407341382383924,0.6600599627258731,0.5922534640628798,0.5667449963536181,0.5473624503686898,0.5763714447775707,0.5715096021392109,0.6360748723766307,0.9993517543148854,0.8915484968803176,0.8160602868487157,0.7724009399562435,0.7172028198687304,0.6320557491289198,0.39505712665100073,0.17235232152985983,-0.21299732598654889,-0.5378656510817601,0.9994489911676526,0.9100234989060855,0.8886638035815574,0.7948950652297222,0.7518515517381088,0.6496232071955271,0.4557977473462443,0.06701239769872781,-0.2779839559192934,-0.45981687059395526,0.04480998298355076,-0.3203143991572806,-0.41265699700186376,-0.4214407260351673,-0.4647111255165709,-0.4585203792237258,-0.754250060773033,-0.7635523863544285,-0.8110363827890771,-0.8686330119115144,0.04215217567458067,-0.2251843448667045,-0.2882586500283607,-0.4287983145612187,-0.41340247953974557,-0.4981606028684872,-0.6975285633255004,-0.795640547767604,-0.8233530508062558,-0.8579369581071227
BDM -Ns=10.0 -Prop=0.1 Nm=1.0,0.9990600437565839,0.8908030143424359,0.8346325257272508,0.8623450287659024,0.8571914755692409,0.8113280933473787,0.822704805121141,0.771849931123896,0.7945061178186533,0.8035491451260028,0.9996758771574428,0.9572806093509441,0.9324852118953084,0.9187748156551333,0.9240904302730735,0.8878534964751641,0.8967020500769791,0.8490235799367962,0.8641277043999676,0.8202414715177053,0.9995138157361643,0.9477513977797585,0.9160521837776517,0.9206223158577101,0.9209788509845233,0.9059719633741189,0.8901871809415768,0.8496718256219108,0.8568673527266835,0.828279718013127,-0.06480836236933799,-0.04931529049509765,-0.1741025848796694,-0.3840369500040516,-0.40478081192772064,-0.35982497366501903,-0.6368851794830241,-0.4599141074467223,-0.5947816222348269,-0.6668665424195771,-0.06801717851065554,-0.05268616805769387,-0.2126732031439916,-0.38536585365853665,-0.40559111903411393,-0.2892634308402885,-0.6211976339032493,-0.4755044161737299,-0.6330929422251034,-0.642719390649056
BDM -Ns=100.0 -Prop=0.05 Nm=0.1,0.9990924560408396,0.7220646625070903,0.48383437322745326,0.51796450854874,0.4805931448018799,0.4128838829916538,0.39217243335224056,0.4564784053156147,0.5041568754557978,0.42578397212543556,0.9996110525889312,0.8582934932339358,0.6940280366258813,0.6819706668827485,0.5790940766550523,0.5365043351430192,-0.038489587553682855,-0.20350052669961913,-0.0806579693703914,-0.13663398428004217,0.9995462280204199,0.879491127137185,0.7717526942711288,0.6592496556194798,0.5671339437646867,0.5008184101774573,0.1138481484482619,-0.12681306215055507,-0.13786565108176002,-0.039591605218377755,0.028506604002917102,-0.22356373065391785,-0.36319585122761533,-0.3727574750830565,-0.4970585852037922,-0.5095373146422494,-0.7498419901142533,-0.7988817761931774,-0.7706182643221782,-0.7955108986305811,0.03148853415444454,-0.12340977230370312,-0.2661210598816952,-0.3824163357912649,-0.5237663074305161,-0.5484968803176404,-0.656915971153067,-0.7073818977392432,-0.7844583096993762,-0.7075439591605218
BDM -Ns=100.0 -Prop=0.05 Nm=1.0,0.9987683331982822,0.7961267320314399,0.7372984361072847,0.7314642249412528,0.6934770277935338,0.6703022445506848,0.6461875050644196,0.6453123733895147,0.6808038246495423,0.6902033870837048,0.999416578883397,0.9067174459120008,0.8419901142533022,0.8184912081678958,0.7175269427112877,0.676233692569484,0.11553358722956002,-0.5414310023498907,-0.7178510655538448,-0.7514950166112956,0.999513815736164,0.9054533668260272,0.8783566971882344,0.8040677416740944,0.746244226561867,0.6835264565270238,0.08636253139940038,-0.5561785916862492,-0.739696945142209,-0.7484482618912568,-0.029900332225913616,-0.14451016935418526,-0.29769062474677904,-0.3981687059395511,-0.5077222267239284,-0.5804878048780487,-0.7613483510250385,-0.8366744996353619,-0.8606595899846041,-0.864451827242525,-0.030127218215703754,-0.1753018393971315,-0.206676930556681,-0.3986548902033872,-0.4422494125273479,-0.5760473219350135,-0.805461469897091,-0.8571590632849851,-0.8831213029738271,-0.8639008184101774
BDM -Ns=100.0 -Prop=0.1 Nm=0.1,0.9991572806093509,0.8344380520217165,0.722939794181995,0.6876428166275018,0.6586986467871323,0.6532533830321692,0.5710558301596306,0.5986062717770035,0.5840855684304351,0.5713799530021879,0.9995786403046756,0.9356292034681145,0.8309051130378414,0.7723037031034763,0.7308483915403938,0.7233287415930638,0.6534154444534479,0.6278745644599303,0.5894335953326311,0.5806174540150717,0.9996758771574428,0.8916133214488292,0.8190422170002432,0.7904869945709424,0.7033303622072766,0.6964265456608054,0.6149420630418929,0.6086540798962807,0.6069362288307268,0.559354995543311,0.0808848553601815,-0.311530670123977,-0.34922615671339435,-0.5175431488534155,-0.5745887691435054,-0.6238878534964752,-0.741123085649461,-0.7346730410825704,-0.7550603678794263,-0.7416092699132971,0.07877805688355888,-0.4015071712178916,-0.3579126488939308,-0.5306377116927316,-0.6063528077141237,-0.6636901385625152,-0.7344461550927802,-0.7399886557005105,-0.7370715501174946,-0.742127866461389
BDM -Ns=100.0 -Prop=0.1 Nm=1.0,0.9988331577667937,0.893947005915242,0.8184587958836399,0.7949598897982336,0.7885422575155985,0.6716959727736813,0.6846608864759745,0.6603840855684305,0.6400291710558301,0.6703346568349405,0.9995462280204197,0.947330038084434,0.9026334980957783,0.804878048780488,0.75898225427437,0.6359452232396079,0.018264322178105506,-0.21027469410906732,-0.30790049428733485,-0.3007697917510737,0.999416578883397,0.9541042054938822,0.9112551657078033,0.7995300218782919,0.7430029981362937,0.6726359290170975,-0.0746616967830808,-0.3012559760149097,-0.30135321286767686,-0.34151203306052996,-0.0007616886800097256,-0.30683088890689575,-0.4686330119115145,-0.6275180293331173,-0.7590794911271372,-0.752175674580666,-0.814925856899765,-0.8042298030953731,-0.8176484887772466,-0.8457823515112228,0.0020581800502390336,-0.27577992058990364,-0.4514869135402318,-0.6417146098371284,-0.7531804553925938,-0.7210274694109067,-0.8595575723199094,-0.8758609513005429,-0.8410177457256299,-0.8547281419658053
Both -Ns=10.0 -Prop=0.05 +Ns=100.0 +Prop=0.001,0.9995462280204199,0.8206952434972855,0.7088404505307512,0.705599222105178,0.7221618993598575,0.6841422899278828,0.6378899602949518,0.6600275504416174,0.7042054938821816,0.6502714528806418,0.9998055262944657,0.8085406369013857,0.7487075601653027,0.732533830321692,0.6924074224130947,0.6814520703346568,0.6275180293331173,0.6339032493314967,0.3924317316262864,-0.01596304999594847,0.9997407017259542,0.8001782675634066,0.7074467223077547,0.6578559273964832,0.6402560570456204,0.6644032088161415,0.6598330767360829,0.575982497366502,0.4579693703913783,0.057742484401588204,-0.1431812656997002,-0.8603354671420469,-0.8357669556762014,-0.8556680982092214,-0.8782594603354672,-0.8592010371930963,-0.8374199821732438,-0.8648083623693381,-0.9132971396159146,-0.8897334089619967,-0.14181994976095944,-0.8712259946519731,-0.8535612997325988,-0.8714204683575076,-0.887399724495584,-0.8813062150555062,-0.8936228830726847,-0.8886638035815574,-0.8943683656105665,-0.8673365205412852
Both -Ns=10.0 -Prop=0.05 +Ns=100.0 +Prop=0.005,0.9993517543148854,0.6396078113605057,0.6606433838424763,0.6812251843448667,0.6703022445506848,0.7205088728628151,0.658860708208411,0.6770439996758773,0.6665424195770198,0.7152580828133863,0.9997731140102099,0.6931853172352321,0.660448910136942,0.7095535207843774,0.6801879912486833,0.6377927234421846,-0.34011830483753347,-0.6161737298436107,-0.6808038246495423,-0.633870837047241,0.9995786403046756,0.7378170326553765,0.6787942630256868,0.6987602301272183,0.6603192609999191,0.6549712340977231,-0.3149015476865733,-0.6591524187667126,-0.6624584717607974,-0.6670610161251114,0.1029252086540799,-0.8136293655295358,-0.8667855117089378,-0.8616319585122761,-0.8658779677497772,-0.8857142857142858,-0.8713556437889961,-0.8828620046997813,-0.866137266023823,-0.917219026010858,0.10658779677497772,-0.8187505064419416,-0.8373227453204766,-0.8710639332306945,-0.8757961267320313,-0.89297463738757,-0.881565513329552,-0.8838019609431976,-0.8986791994165788,-0.8927801636820355
